Name,Weight,NormalizedWeight,AdvantagedIterations,AdvantagedWins,DisadvantagedIterations,DisadvantagedWins,NeutralIterations,NeutralWins
Matter,0.16,0.16,95.01,55.28,4.99,46.92,0.01,39.39
Energy,0.00,0.01,0.00,0.00,0.00,0.00,100.00,54.86
Bandwidth,3.23,0.06,95.23,55.24,4.77,47.35,0.01,51.61
Health,0.03,0.61,95.01,55.26,4.98,47.27,0.01,53.57
Radius,-25.05,-0.33,95.03,55.26,4.97,47.24,0.01,48.00
Speed,3.53,0.33,95.01,55.29,4.98,46.76,0.01,45.16
Damage,0.14,0.28,94.99,55.26,5.00,47.23,0.01,56.25
Duration,-8.00,-0.10,95.00,55.28,4.99,46.91,0.01,61.11
Windup,-19.93,-0.25,95.04,55.29,4.96,46.77,0.01,36.36
Recoil,0.00,0.04,0.00,0.00,0.00,0.00,100.00,54.86
WeaponSpeed,0.00,-0.04,0.00,0.00,0.00,0.00,100.00,54.86
Range,-6.53,-0.01,94.98,55.27,5.01,47.13,0.01,46.15
Splash,0.00,0.01,0.00,0.00,0.00,0.00,100.00,54.86
Hunter,-4.73,-0.05,7.14,52.11,0.00,0.00,92.86,55.07
Guardian Shield,184.08,1.84,7.10,55.08,0.00,0.00,92.90,54.85
Recall,-4.47,-0.04,7.10,61.78,0.00,0.00,92.90,54.33
Recall Hunter,-4.28,-0.04,7.05,48.71,0.00,0.00,92.95,55.33
Scorpion,4.11,0.04,7.09,57.92,0.00,0.00,92.91,54.63
Beetle,-4.80,-0.05,7.18,52.38,0.00,0.00,92.82,55.05
Blink,-5.09,-0.05,7.13,59.91,0.00,0.00,92.87,54.47
Blink Hunter,-4.21,-0.04,7.19,46.09,0.00,0.00,92.81,55.54
Gunbot,-2.20,-0.02,7.12,61.86,0.00,0.00,92.88,54.33
Missilebot,-4.58,-0.05,7.16,51.57,0.00,0.00,92.84,55.12
Wasp,0.68,0.01,7.19,56.46,0.00,0.00,92.81,54.74
Hornet,-4.42,-0.04,7.13,50.22,0.00,0.00,92.87,55.22
Knight,-12.30,-0.12,7.12,63.76,0.00,0.00,92.88,54.18
Crossbow,-8.71,-0.09,7.13,50.36,0.00,0.00,92.87,55.21
Ballista,-17.74,-0.18,4.20,47.90,0.00,0.00,95.80,55.17
King Crab,-6.68,-0.07,4.20,48.45,0.00,0.00,95.80,55.14
Crusader,-1.59,-0.02,4.22,52.16,0.00,0.00,95.78,54.98
Bomber,-0.81,-0.01,4.26,50.65,0.00,0.00,95.74,55.05
Shocker,-16.87,-0.17,4.21,50.14,0.00,0.00,95.79,55.07
Recall Shocker,-14.58,-0.15,4.21,52.24,0.00,0.00,95.79,54.98
Mortar,-11.50,-0.11,4.22,62.10,0.00,0.00,95.78,54.54
Swift Shocker,-18.63,-0.19,4.19,49.44,0.00,0.00,95.81,55.10
Heavy Hunter,-8.91,-0.09,4.25,48.97,0.00,0.00,95.75,55.12
Destroyer,-14.60,-0.15,4.25,49.91,0.00,0.00,95.75,55.08
Raider,-13.77,-0.14,4.24,34.50,0.00,0.00,95.76,55.76
Turret,-11.15,-0.11,4.20,57.20,0.00,0.00,95.80,54.76
Heavy Ballista,-27.77,-0.28,2.80,57.25,0.00,0.00,97.20,54.79
Gargantua,-9.45,-0.09,2.81,70.91,0.00,0.00,97.19,54.40
Sniper,-15.01,-0.15,2.83,57.86,0.00,0.00,97.17,54.77
Advanced Blink,2.36,0.02,2.85,56.67,0.00,0.00,97.15,54.81
Assaultbot,-3.18,-0.03,2.81,64.42,0.00,0.00,97.19,54.59
Advancedbot,-0.31,-0.00,2.85,65.82,0.00,0.00,97.15,54.54
Behemoth,-10.62,-0.11,2.82,63.98,0.00,0.00,97.18,54.60
Advanced Mortar,-1.52,-0.02,2.85,71.30,0.00,0.00,97.15,54.38
Blaster,-8.32,-0.08,2.82,67.60,0.00,0.00,97.18,54.49
Butterfly,-16.50,-0.16,6.33,51.67,0.00,0.00,93.67,55.08
Dragonfly,-11.24,-0.11,6.36,55.02,0.00,0.00,93.64,54.85
Falcon,-12.34,-0.12,6.37,57.25,0.00,0.00,93.63,54.70
Airship,-9.70,-0.10,6.25,53.09,0.00,0.00,93.75,54.98
Advanced Recall,-6.10,-0.06,6.28,55.10,0.00,0.00,93.72,54.85
Mammoth,-11.97,-0.12,6.38,56.26,0.00,0.00,93.62,54.77
Stinger,-15.68,-0.16,6.33,43.82,0.00,0.00,93.67,55.61
Flak Turret,-17.33,-0.17,6.38,41.73,0.00,0.00,93.62,55.76
Bulwark,-18.40,-0.18,2.84,66.48,0.00,0.00,97.16,54.52
Katbus,-25.74,-0.26,2.90,62.79,0.00,0.00,97.10,54.63
Locust,-5.33,-0.05,2.93,54.32,0.00,0.00,97.07,54.88
Kraken,144.86,1.45,1.16,87.93,0.00,0.00,98.84,54.47
Predator,-7.20,-0.07,2.94,49.64,0.00,0.00,97.06,55.02
Valkyrie,-7.54,-0.08,2.91,54.87,0.00,0.00,97.09,54.86
Artillery,-15.69,-0.16,2.91,55.90,0.00,0.00,97.09,54.83
Advanced Destroyer,-9.74,-0.10,2.91,54.51,0.00,0.00,97.09,54.87
Shade,-16.61,-0.17,2.95,58.43,0.00,0.00,97.05,54.75
Ranking,0.03,2.48,0.00,0.00,100.00,54.86,0.00,0.00
Aggression,2.65,2.65,0.00,0.00,100.00,54.86,0.00,0.00
vs. Crab,-2.10,-0.02,13.36,49.88,0.00,0.00,86.64,55.63
vs. Hunter,11.20,0.11,13.30,62.37,0.00,0.00,86.70,53.71
vs. Guardian Shield,-77.62,-0.78,13.22,53.82,0.00,0.00,86.78,55.02
vs. Recall,-26.62,-0.27,13.32,43.50,0.00,0.00,86.68,56.61
vs. Recall Hunter,3.64,0.04,13.26,61.83,0.00,0.00,86.74,53.80
vs. Scorpion,-1.28,-0.01,13.31,47.89,0.00,0.00,86.69,55.93
vs. Beetle,12.42,0.12,13.34,61.44,0.00,0.00,86.66,53.85
vs. Blink,-17.25,-0.17,13.31,48.99,0.00,0.00,86.69,55.76
vs. Blink Hunter,21.74,0.22,13.31,66.62,0.00,0.00,86.69,53.06
vs. Gunbot,-14.58,-0.15,13.26,42.20,0.00,0.00,86.74,56.80
vs. Missilebot,10.44,0.10,13.30,61.80,0.00,0.00,86.70,53.80
vs. Wasp,-0.84,-0.01,13.31,50.49,0.00,0.00,86.69,55.53
vs. Hornet,14.84,0.15,13.26,65.42,0.00,0.00,86.74,53.25
vs. Knight,-51.40,-0.51,13.37,42.86,0.00,0.00,86.63,56.72
vs. Crossbow,45.89,0.46,13.47,63.96,0.00,0.00,86.53,53.44
vs. Ballista,-61.37,-0.61,4.27,58.83,0.00,0.00,95.73,54.69
vs. King Crab,-59.02,-0.59,4.20,54.68,0.00,0.00,95.80,54.87
vs. Crusader,-39.19,-0.39,4.24,51.70,0.00,0.00,95.76,55.00
vs. Bomber,-25.12,-0.25,4.21,55.89,0.00,0.00,95.79,54.82
vs. Shocker,-69.38,-0.69,4.26,57.12,0.00,0.00,95.74,54.76
vs. Recall Shocker,-76.29,-0.76,4.20,52.15,0.00,0.00,95.80,54.98
vs. Mortar,-93.93,-0.94,4.21,41.94,0.00,0.00,95.79,55.43
vs. Swift Shocker,-57.44,-0.57,4.21,58.48,0.00,0.00,95.79,54.70
vs. Heavy Hunter,42.07,0.42,4.18,61.20,0.00,0.00,95.82,54.59
vs. Destroyer,5.58,0.06,4.23,59.25,0.00,0.00,95.77,54.67
vs. Raider,57.95,0.58,4.19,69.69,0.00,0.00,95.81,54.21
vs. Turret,-77.99,-0.78,4.16,46.24,0.00,0.00,95.84,55.24
vs. Heavy Ballista,-169.90,-1.70,2.76,48.00,0.00,0.00,97.24,55.06
vs. Gargantua,-150.65,-1.51,2.78,36.73,0.00,0.00,97.22,55.38
vs. Sniper,-75.61,-0.76,2.83,47.69,0.00,0.00,97.17,55.07
vs. Advanced Blink,17.71,0.18,2.83,54.16,0.00,0.00,97.17,54.88
vs. Assaultbot,-16.92,-0.17,2.85,38.68,0.00,0.00,97.15,55.34
vs. Advancedbot,-14.90,-0.15,2.85,42.09,0.00,0.00,97.15,55.24
vs. Behemoth,-64.82,-0.65,2.85,41.18,0.00,0.00,97.15,55.26
vs. Advanced Mortar,-86.57,-0.87,2.83,35.30,0.00,0.00,97.17,55.43
vs. Blaster,-88.56,-0.89,2.84,40.30,0.00,0.00,97.16,55.29
vs. Butterfly,-50.20,-0.50,6.33,49.51,0.00,0.00,93.67,55.22
vs. Dragonfly,-54.77,-0.55,6.37,47.73,0.00,0.00,93.63,55.35
vs. Falcon,-75.29,-0.75,6.39,44.81,0.00,0.00,93.61,55.55
vs. Airship,-34.01,-0.34,6.38,49.67,0.00,0.00,93.62,55.22
vs. Advanced Recall,-35.54,-0.36,6.32,49.59,0.00,0.00,93.68,55.22
vs. Mammoth,-47.76,-0.48,6.38,49.36,0.00,0.00,93.62,55.24
vs. Stinger,-33.98,-0.34,6.36,62.49,0.00,0.00,93.64,54.34
vs. Flak Turret,21.89,0.22,6.41,61.33,0.00,0.00,93.59,54.42
vs. Bulwark,-130.20,-1.30,2.86,39.90,0.00,0.00,97.14,55.30
vs. Katbus,-142.46,-1.42,2.92,42.60,0.00,0.00,97.08,55.23
vs. Locust,-25.25,-0.25,2.94,50.30,0.00,0.00,97.06,55.00
vs. Kraken,-1492.72,-14.93,1.18,15.99,0.00,0.00,98.82,55.33
vs. Predator,36.41,0.36,2.92,57.58,0.00,0.00,97.08,54.78
vs. Valkyrie,-31.41,-0.31,2.93,50.45,0.00,0.00,97.07,55.00
vs. Artillery,-78.42,-0.78,2.95,49.20,0.00,0.00,97.05,55.03
vs. Advanced Destroyer,-5.43,-0.05,2.96,54.43,0.00,0.00,97.04,54.88
vs. Shade,-86.67,-0.87,2.91,47.14,0.00,0.00,97.09,55.09
vs. Ranking,0.03,2.35,0.00,0.00,100.00,54.86,0.00,0.00
vs. Aggression,2.61,2.61,0.00,0.00,100.00,54.86,0.00,0.00
